iter	RMSE
305	961674.7426
306	961218.1085
307	960731.0167
308	960322.8665
309	960002.2439
310	959415.1921
311	958855.3979
312	958163.8536
313	957564.0667
314	957060.0442
315	956766.5016
316	956121.2739
317	955740.1754
318	955074.2056
319	954540.2943
320	954041.8166
321	953501.082
322	952711.9112
323	952195.9687
324	951662.9155
325	951073.434
326	950552.1291
327	950317.4126
328	949770.505
329	949434.0728
330	948965.4976
331	948461.0187
332	947881.2602
333	947435.9898
334	947162.6948
335	946835.2213
336	946139.4029
337	945667.4339
338	945177.8595
339	944560.4975
340	944212.2206
341	943645.3177
342	943309.6958
343	942876.195
344	942332.7139
345	941878.0096
346	941400.385
347	940615.4128
348	940207.5397
349	939760.5049
350	939301.2799
351	938843.7989
352	938366.8489
353	938044.9554
354	937834.0803
355	937236.2355
356	936821.1677
357	936341.7438
358	936000.3801
359	935200.6183
360	934662.5304
361	934379.3893
362	933755.3025
363	933342.4186
364	932761.8677
365	932506.7734
366	931981.3402
367	931710.9119
368	931461.1361
369	930817.2965
370	930364.1574
371	929917.5215
372	929507.0722
373	929158.9659
374	928651.7638
375	928229.8105
376	927750.4487
377	927260.3455
378	926736.2838
379	926244.1107
380	925754.7142
381	925259.2436
382	924831.6274
383	924539.8812
384	924237.763
385	923707.2888
386	923242.3764
387	922800.8101
388	922473.5479
389	921981.4365
390	921634.394
391	921363.4205
392	921084.8353
393	920685.9245
394	920243.8287
395	919845.6701
396	919265.2962
397	918789.3767
398	918379.3539
399	917946.1045
400	917478.4581
401	917187.8778
402	916480.7502
403	916122.504
404	915772.4042
405	915336.8223
406	915096.9444
407	914709.4637
408	914427.8584
409	913939.5717
410	913575.4032
411	913252.7983
412	912919.7195
413	912630.1259
414	912199.6709
415	911683.5027
416	911435.5778
417	911229.614
418	910725.3206
419	910404.5893
420	909739.6865
421	909289.1488
422	908983.9242
423	908784.6391
424	908469.5467
425	908130.3062
426	907822.781
427	907237.4994
428	906700.061
429	906232.2477
430	905962.9849
431	905597.4976
432	905377.8337
433	904629.4108
434	904156.0396
435	903800.8929
436	903183.4766
437	902735.7225
438	902333.7206
439	902036.7485
440	901398.0726
441	901065.8346
442	900748.7924
443	900458.4363
444	900169.569
445	899790.2631
446	899586.4776
447	899331.8497
448	898777.0208
449	898460.2773
450	898025.7231
451	897565.2962
452	897111.9799
453	896810.0947
454	896386.8612
455	895812.533
456	895529.8368
457	895168.8461
458	894706.7133
459	894330.791
460	893969.0099
461	893717.7486
462	893522.6101
463	893184.4717
464	892601.1558
465	892115.5574
466	891703.0122
467	891437.3625
468	891120.8486
469	890802.6012
470	890651.3778
471	890247.491
472	889869.529
473	889620.2992
474	889350.1701
475	888966.5937
476	888630.1644
477	888318.503
478	888079.0441
479	887760.3357
480	887521.5304
481	887158.0744
482	886857.646
483	886569.5536
484	886251.5193
485	885551.4663
486	885150.3679
487	884865.5587
488	884465.8302
489	883891.7088
490	883613.7177
491	883120.8859
492	882803.8559
493	882513.5238
494	882035.6829
495	881664.8868
496	881427.1195
497	880991.4198
498	880708.9226
499	880250.1384
500	879995.3547
501	879498.0603
502	879338.0541
503	878922.6655
504	878569.3572
505	878084.2642
506	877760.413
507	877440.5454
508	877277.3918
509	876739.237
510	876413.0963
511	876153.4335
512	875773.1094
513	875081.1888
514	874590.046
515	874376.3695
516	874112.8269
517	873875.9202
518	873625.0548
519	873332.4519
520	873041.4643
521	872729.6522
522	872640.5582
523	872293.5634
524	872102.6333
525	871827.5974
526	871541.4549
527	871294.5771
528	870878.0939
529	870470.9585
530	870257.9962
531	869980.0982
532	869432.22
533	869239.5271
534	868859.4813
535	868417.9279
536	867984.9618
537	867633.5538
538	867243.1003
539	866940.9209
540	866596.7593
541	866330.2794
542	866099.0571
543	865812.305
544	865325.0633
545	865101.0205
546	864757.6307
547	864552.3536
548	864277.3952
549	863946.1013
550	863615.1195
551	863202.2278
552	862839.7234
553	862671.1803
554	862474.6319
555	862266.1568
556	861901.8409
557	861718.886
558	861558.17
559	861302.4553
560	861096.3463
561	860878.3899
562	860595.038
563	860221.4632
564	859902.6514
565	859617.4518
566	859428.1473
567	859109.2812
568	858724.2999
569	858334.8802
570	858116.0604
571	857699.4315
572	857475.1864
573	857229.9304
574	856887.5072
575	856426.8836
576	856136.6242
577	855886.6891
578	855781.7163
579	855580.5978
580	855343.4356
581	854967.1307
582	854742.3418
583	854506.0978
584	854215.6882
585	853873.0976
586	853454.2233
587	853201.7262
588	852987.2591
589	852671.8668
590	852431.3072
591	851952.2995
592	851678.9141
593	851422.6316
594	851146.9211
595	850935.1854
596	850413.8498
597	850213.4837
598	849870.4841
599	849431.6237
600	849230.1308
601	848913.3158
602	848523.6191
603	848306.1262
604	848050.7286
605	847768.6691
606	847375.734
607	847203.1635
608	846992.2422
609	846542.1445
610	846242.2117
611	845959.8906
612	845749.6085
613	845570.0899
614	845361.955
615	845077.4347
616	844858.8914
617	844569.859
618	844336.7834
619	843953.731
620	843490.7045
621	843047.9074
622	842799.2038
623	842334.4991
624	841974.6855
625	841737.7624
626	841376.7093
627	841281.2432
628	841072.8203
629	840448.2034
630	840144.1651
631	839822.1482
632	839479.4198
633	839107.8777
634	838726.4855
635	838418.9922
636	838062.5159
637	837886.7622
638	837609.9914
639	837411.2094
640	837139.2448
641	836962.0942
642	836764.1536
643	836393.054
644	836173.3759
645	835941.1883
646	835684.6514
647	835467.8102
648	835126.3977
649	834871.3253
650	834413.057
651	834210.0552
652	833890.8557
653	833760.7611
654	833267.2288
655	832899.7056
656	832528.73
657	832161.6911
658	831754.6838
659	831550.9204
660	831369.6
661	831142.5498
662	830917.4072
663	830698.1576
664	830374.4281
665	830021.9644
666	829741.3042
667	829556.3956
668	829385.5011
669	829098.0038
670	828457.0358
671	828188.4261
672	827741.1313
673	827421.6868
674	827199.331
675	826977.9206
676	826841.5644
677	826579.6396
678	826271.418
679	825953.2098
680	825687.9392
681	825435.8708
682	825226.7405
683	824898.3669
684	824524.4624
685	824180.7147
686	823887.9001
687	823562.4987
688	823366.894
689	823054.691
690	822859.6386
691	822680.9019
692	822325.2592
693	822035.8798
694	821872.4338
695	821557.7632
696	821270.718
697	821083.2301
698	820814.486
699	820617.6068
700	820276.1256
701	819994.2771
702	819728.1964
703	819343.163
704	819046.234
705	818510.4392
706	818265.7327
707	818171.0157
708	817942.5811
709	817805.0999
710	817540.0012
711	817291.2601
712	817144.5042
713	816880.4813
714	816465.4417
715	816276.6178
716	816063.0811
717	815902.1067
718	815563.9572
719	815274.3092
720	815090.2726
721	814903.3789
722	814648.6317
723	814431.4527
724	814227.6957
725	813985.2346
726	813755.847
727	813476.4893
728	813193.7359
729	812885.2071
730	812308.1415
731	811947.6017
732	811506.446
733	811254.6971
734	810918.4137
735	810673.8035
736	810517.8253
737	810274.8577
738	810108.2023
739	809935.7555
740	809632.7602
741	809399.807
742	809177.2207
743	808857.9368
744	808596.4055
745	808270.4909
746	808135.9591
747	807795.9271
748	807435.7833
749	807251.5629
750	806972.2282
751	806564.6125
752	806228.3977
753	806094.2728
754	805612.7669
755	805316.706
756	805139.5701
757	804900.5951
758	804722.0979
759	804455.5352
760	804209.4442
761	803851.6691
762	803469.0683
763	803348.7903
764	803169.8353
765	803064.4824
766	802919.1827
767	802701.575
768	802613.0983
769	802417.6298
770	802189.0614
771	801936.0793
772	801781.9483
773	801631.0246
774	801524.0669
775	801362.7699
776	801180.4095
777	801119.4173
778	800879.3637
779	800752.5452
780	800420.7533
781	800141.7532
782	799931.8436
783	799809.4118
784	799665.1394
785	799420.6321
786	799256.7344
787	798976.1997
788	798942.4419
789	798552.4345
790	798295.0791
791	797791.6707
792	797636.6239
793	797524.3636
794	797364.5196
795	797116.143
796	796843.1755
797	796517.3462
798	796337.5066
799	796027.0708
800	795944.239
801	795699.463
802	795521.8328
803	795133.1655
804	794950.7311
805	794707.6389
806	794383.1339
807	794265.3731
808	794041.3895
809	793885.9464
810	793702.5399
811	793187.0148
812	792876.2064
813	792571.0958
814	792394.2027
815	792275.7354
816	792018.5953
817	791720.8629
818	791514.6828
819	791177.3455
820	790998.9412
821	790670.6602
822	790571.0143
823	790412.774
824	790202.5778
825	789953.0967
826	789779.1954
827	789698.5949
828	789543.8394
829	789379.6181
830	789179.1277
831	788919.0748
832	788679.5333
833	788402.0025
834	788082.3093
835	787975.257
836	787821.3896
837	787457.2949
838	787206.2927
839	787048.6197
840	786878.1402
841	786640.2893
842	786395.3387
843	786138.2365
844	785921.468
845	785771.0541
846	785502.8211
847	785305.9836
848	785082.8274
849	784831.9344
850	784767.0987
851	784620.917
852	784559.0906
853	784320.8652
854	784277.3085
855	783839.8544
856	783365.1674
857	783146.2662
858	782630.3079
859	782336.0352
860	782205.2155
861	782064.3817
862	781888.97
863	781660.6376
864	781461.4099
865	781240.8163
866	780897.8437
867	780316.2489
868	780109.6584
869	779852.9768
870	779646.893
871	779343.6673
872	779305.9762
873	779024.3052
874	778880.1122
875	778667.1006
876	778395.3714
877	778167.154
878	777974.7167
879	777783.833
880	777667.3958
881	777503.5664
882	777133.8919
883	776928.717
884	776732.22
885	776578.5207
886	776331.3891
887	776121.3631
888	775854.0278
889	775779.9489
890	775659.8666
891	775555.4131
892	775497.0108
893	775226.5501
894	775054.0264
895	774923.6524
896	774594.9958
897	774257.4648
898	773945.6511
899	773626.6048
900	773463.6204
901	773123.5679
902	773088.571
903	772830.8391
904	772682.9482
905	772523.1483
906	772366.1391
907	772163.3373
908	772004.6529
909	771810.2822
910	771640.7189
911	771467.2115
912	771293.6227
913	771152.5207
914	770958.6615
915	770750.133
916	770690.5222
917	770395.2662
918	770131.6867
919	769905.6081
920	769652.5285
921	769399.4879
922	769186.275
923	769033.5382
924	768832.6905
925	768598.6234
926	768376.7891
927	768137.4825
928	767855.603
929	767591.7396
930	767316.4566
931	767165.2303
932	767018.7644
933	766577.1324
934	766363.0824
935	766185.6004
936	766086.6945
937	765947.3495
938	765746.6557
939	765464.5418
940	765257.0598
941	764846.5329
942	764694.8619
943	764528.9915
944	764384.5998
945	764135.4211
946	764049.3003
947	763832.7845
948	763538.0777
949	763333.5474
950	763052.7131
951	762745.7776
952	762575.0766
953	762453.2069
954	762261.144
955	762094.9848
956	761866.2087
957	761663.3987
958	761407.1781
959	761272.7429
960	761093.7449
961	760893.1485
962	760660.296
963	760360.2043
964	760170.708
965	760110.5706
966	759901.9222
967	759780.4717
968	759551.5137
969	759348.7683
970	759107.7112
971	758909.6481
972	758621.3535
973	758394.9553
974	758238.0686
975	758053.9951
976	757833.3724
977	757564.9157
978	757424.6683
979	757173.4588
980	757139.853
981	757010.4184
982	756806.4958
983	756627.3607
984	756280.0949
985	756252.5619
986	755975.5055
987	755738.959
988	755639.8698
989	755488.6168
990	755292.1687
991	755188.1972
992	755083.6294
993	754883.6532
994	754797.0288
995	754512.1232
996	754420.8874
997	754218.3386
998	753965.6181
999	753802.9775
